Phi,NSS,ChiSq,p_av,p_sd,p_sk,p_ku,H_av,H_sd,H_sk,H_ku,S,si_av,si_sd,si_sk,si_ku
1.66e-01,8.0125e-01,153.3,2.80132450331126,1.19612989366213,1.60758073612891,3.13925728218747,0.415098224720352,0.251174488843545,1.30300427924358,1.83005548804416,518,250.719327731092,123.304760979535,1.35144473223584,2.06508093720965
0.00e+00,1.0000e+00,7.9,1.16721854304636,0.394731292525105,2.31118954778333,6.87073127595439,0.0275168345483889,0.0816406227505402,3.92455622706387,19.2188563566835,96,16.6201680672269,8.15111045517269,1.35669925666435,2.10225539775782
4.45e-01,7.1332e-01,108.0,2.04304635761589,0.994089149051316,1.71698491145189,3.65240525522623,0.253400300517559,0.238476075036757,1.24098751540494,1.67757804506739,403,153.053781512605,63.0194618331018,1.56984138710964,2.84092808127206
5.49e-01,6.8654e-01,243.0,3.47185430463576,1.29218327692203,1.65376947799397,3.39378022581012,0.499565919082865,0.209537970364152,1.58713435510438,2.89683307374265,579,301.73781512605,112.027960939228,1.79390616906286,3.8215294120971
4.34e-01,7.2221e-01,95.3,2.08774834437086,0.926387752399216,1.67548914207216,3.48701438018896,0.264563971283879,0.232945922989817,1.23291611935734,1.64756820389628,432,159.796638655462,64.7988794549514,1.58622607524583,2.97870293481814
2.03e-01,8.1394e-01,80.7,2.84602649006623,1.2373067201903,1.71694325624782,3.65570064804193,0.331070176414936,0.224240825699683,1.30680873232261,1.84018657146038,529,199.966386554622,106.721984911327,1.32938582127633,1.91090850680611
3.38e-01,7.7338e-01,168.6,2.96688741721854,1.13882255066127,1.58173687398243,2.95230118207245,0.459065613000167,0.228422640204237,1.50314842019796,2.51678651363968,545,277.275630252101,132.484765552853,1.47225329064547,2.39433978985803
2.72e-01,8.1259e-01,94.3,1.70198675496689,0.799790551942748,1.77627152142864,4.56314757850913,0.177366575769381,0.224389228563219,1.31507409951396,1.97001365366036,317,107.129411764706,56.9189758096279,1.31235538781267,1.83923802712146
2.11e-02,9.7387e-01,34.3,1.16390728476821,0.396117705280889,2.40769961019366,7.48171077584409,0.0517891924981913,0.134886561258014,2.52506262381325,7.23942802935931,93,31.2806722689076,21.1682387628533,1.28567795430181,1.72604090061103
1.88e-01,8.1738e-01,97.1,2.8841059602649,1.19870751118932,1.58108852223102,2.96604409518712,0.367288107295899,0.235730102171242,1.25842399904512,1.69413342177035,533,221.842016806723,106.833296273077,1.4691767225651,2.37098781931141
3.03e-01,7.7208e-01,101.9,2.5794701986755,1.12995445496884,1.52700908803639,2.72487077083541,0.213411987311482,0.184651662659927,1.46578663534146,2.4824679557739,501,128.900840336134,67.094053507748,1.70200813926021,3.34259688880375
2.74e-02,9.5441e-01,13.1,2.20033112582781,0.972094016941214,1.53712032354538,2.76214695275056,0.227196839000501,0.203850144087589,1.40729986621186,2.19832303433283,446,137.226890756303,90.7895189759193,1.5227147057787,2.49557859868961
5.43e-02,9.2066e-01,48.6,1.8841059602649,0.915184106635011,1.79253676039542,4.41464177329542,0.176676498413936,0.21371718414713,1.41016220665952,2.27930979647941,364,106.712605042017,59.3121050671738,1.17827906833628,1.52215864974985
4.96e-01,7.5939e-01,140.8,2.72516556291391,1.05978371797283,1.56590673266406,2.86356624591381,0.337030441315599,0.210780817198226,1.34250901374251,1.93660631081104,536,203.566386554622,113.835043028923,1.21732139950933,1.58640826995259
1.60e-02,9.7327e-01,28.9,1.40728476821192,0.597744030107857,1.67986221671952,4.02978626274529,0.0759085090990037,0.128641109315568,1.87687407253049,4.33675706346058,213,45.8487394957983,31.8427434989069,1.28291350518583,1.76871264948049
3.62e-01,7.4670e-01,95.0,2.23675496688742,1.00094660473058,1.5493930906248,2.7911393863079,0.271573265067616,0.230276518355918,1.20555293276391,1.56066757591129,453,164.03025210084,74.7343019739469,1.43212384847461,2.36352954646245
9.22e-02,8.7484e-01,41.5,2.49006622516556,1.08033321857837,1.57569868579548,2.97789733822054,0.299065056486171,0.227389505130466,1.26949678976392,1.71932573175022,490,180.635294117647,94.6155765492862,1.34979566617661,2.01248904313925
1.92e-02,9.7055e-01,36.4,1.38741721854305,0.626860635542115,1.90485574459059,5.15988034629402,0.0915409872558294,0.164767149079727,1.91183547992241,4.47443166903995,192,55.290756302521,34.4068758801401,1.15184057577888,1.39838097381466
2.59e-01,7.4669e-01,143.4,2.73344370860927,1.18634925916109,1.7039988728265,3.77146470242751,0.36911069063387,0.236176645825748,1.30071018612606,1.80886908577749,519,222.942857142857,93.501701392356,1.5714969733039,2.83590923626701
1.32e-01,8.5776e-01,61.6,2.08940397350993,0.909089663131944,1.65837898745443,3.3045195690415,0.209215871779176,0.195183371024605,1.37749892078377,2.12268706624006,438,126.366386554622,77.9111336876138,1.22873896181473,1.60389229348736
1.06e-01,8.6850e-01,71.3,1.60430463576159,0.744103540767334,1.85514738893847,5.04560222839891,0.11742723579498,0.159321633202848,1.69171059252512,3.71086452367076,288,70.9260504201681,50.3805142106739,1.29319321415701,1.78425807448637
0.00e+00,1.0000e+00,4.0,1.00993377483444,0.0991720472309401,9.90153568227722,98.8403430635736,0.00143024097056041,0.0178724112513827,15.3570917572786,255.062867684916,6,0.863865546218487,0.903748597863735,1.89459577716725,4.71874098394272
